n_vertices,n_edges,total_time_before,total_time_after,improvement,improvement_percentage,n_layers,avg_time,max_time,min_time,time_range,graph_type,time_range_label
3,3,11.28,11.28,0.0,0.0,3,3.4266666666666663,4.956,2.126,2.8300000000000005,Cyclic,1-5
3,3,11.28,11.28,0.0,0.0,3,3.4266666666666663,4.956,2.126,2.8300000000000005,Complete,1-5
3,3,10.67,10.67,0.0,0.0,3,3.223333333333333,4.135,1.996,2.139,Cyclic,1-5
3,3,10.67,10.67,0.0,0.0,3,3.223333333333333,4.135,1.996,2.139,Complete,1-5
3,3,11.267,11.267,0.0,0.0,3,3.422333333333333,4.898,1.454,3.444,Cyclic,1-5
3,3,11.267,11.267,0.0,0.0,3,3.422333333333333,4.898,1.454,3.444,Complete,1-5
3,3,8.775,8.775,0.0,0.0,3,2.591666666666667,4.566,1.07,3.4959999999999996,Cyclic,1-5
3,3,8.775,8.775,0.0,0.0,3,2.591666666666667,4.566,1.07,3.4959999999999996,Complete,1-5
3,3,9.897,9.897,0.0,0.0,3,2.965666666666667,4.705,1.988,2.717,Cyclic,1-5
3,3,9.897,9.897,0.0,0.0,3,2.965666666666667,4.705,1.988,2.717,Complete,1-5
3,3,20.38,20.38,0.0,0.0,3,6.46,9.901,3.533,6.368,Cyclic,1-10
3,3,20.38,20.38,0.0,0.0,3,6.46,9.901,3.533,6.368,Complete,1-10
3,3,19.009,19.009,0.0,0.0,3,6.003,8.054,3.241,4.813000000000001,Cyclic,1-10
3,3,19.009,19.009,0.0,0.0,3,6.003,8.054,3.241,4.813000000000001,Complete,1-10
3,3,20.35,20.35,0.0,0.0,3,6.45,9.77,2.021,7.749,Cyclic,1-10
3,3,20.35,20.35,0.0,0.0,3,6.45,9.77,2.021,7.749,Complete,1-10
3,3,14.745,14.745,0.0,0.0,3,4.581666666666666,9.024,1.157,7.866999999999999,Cyclic,1-10
3,3,14.745,14.745,0.0,0.0,3,4.581666666666666,9.024,1.157,7.866999999999999,Complete,1-10
3,3,17.27,17.27,0.0,0.0,3,5.423333333333333,9.337,3.224,6.1129999999999995,Cyclic,1-10
3,3,17.27,17.27,0.0,0.0,3,5.423333333333333,9.337,3.224,6.1129999999999995,Complete,1-10
3,3,34.199,34.199,0.0,0.0,3,11.066333333333333,14.89,7.814,7.0760000000000005,Cyclic,5-15
3,3,34.199,34.199,0.0,0.0,3,11.066333333333333,14.89,7.814,7.0760000000000005,Complete,5-15
3,3,32.676,32.676,0.0,0.0,3,10.558666666666667,12.838,7.49,5.347999999999999,Cyclic,5-15
3,3,32.676,32.676,0.0,0.0,3,10.558666666666667,12.838,7.49,5.347999999999999,Complete,5-15
3,3,34.167,34.167,0.0,0.0,3,11.055666666666667,14.745,6.135,8.61,Cyclic,5-15
3,3,34.167,34.167,0.0,0.0,3,11.055666666666667,14.745,6.135,8.61,Complete,5-15
3,3,27.94,27.94,0.0,0.0,3,8.98,13.916,5.175,8.741,Cyclic,5-15
3,3,27.94,27.94,0.0,0.0,3,8.98,13.916,5.175,8.741,Complete,5-15
3,3,30.744,30.744,0.0,0.0,3,9.914666666666667,14.263,7.471,6.792,Cyclic,5-15
3,3,30.744,30.744,0.0,0.0,3,9.914666666666667,14.263,7.471,6.792,Complete,5-15
4,4,14.702,9.167,5.535,37.64793905591076,4,3.4255,4.135,1.996,2.139,Cyclic,1-5
4,6,21.703,13.32,8.383,38.625996406026815,6,3.4505,4.749,1.996,2.7529999999999997,Complete,1-5
4,4,13.673,9.813,3.8599999999999994,28.230819863965472,4,3.16825,4.898,1.454,3.444,Cyclic,1-5
4,6,21.701,14.011,7.690000000000001,35.43615501589789,6,3.4501666666666666,4.898,1.454,3.444,Complete,1-5
4,4,10.971,7.705,3.266,29.769392033542978,4,2.49275,4.566,1.07,3.4959999999999996,Cyclic,1-5
4,6,17.436999999999998,10.06,7.376999999999997,42.306589436256225,6,2.7394999999999996,4.566,1.07,3.4959999999999996,Complete,1-5
4,4,14.463000000000001,10.271,4.192,28.984304777708637,4,3.3657500000000002,4.705,1.988,2.717,Cyclic,1-5
4,6,21.464000000000002,12.706,8.758000000000003,40.80320536712636,6,3.410666666666667,4.705,1.988,2.717,Complete,1-5
4,4,10.497,6.563,3.934,37.477374487948936,4,2.37425,2.978,1.912,1.0660000000000003,Cyclic,1-5
4,6,17.992,11.08,6.912000000000001,38.41707425522455,6,2.8320000000000003,4.986,1.912,3.074,Complete,1-5
4,4,26.832,16.877,9.955000000000002,37.10122242098987,4,6.458,8.054,3.241,4.813000000000001,Cyclic,1-10
4,6,40.085,24.972,15.113,37.70238243732069,6,6.514166666666667,9.435,3.241,6.194000000000001,Complete,1-10
4,4,24.513,18.329,6.184000000000001,25.227430343083263,4,5.87825,9.77,2.021,7.749,Cyclic,1-10
4,6,40.077,26.525,13.552,33.81490630536218,6,6.512833333333333,9.77,2.021,7.749,Complete,1-10
4,4,18.436,13.588,4.848000000000001,26.296376654371883,4,4.359,9.024,1.157,7.866999999999999,Cyclic,1-10
4,6,30.484,17.635,12.849,42.14998031754363,6,4.914000000000001,9.024,1.157,7.866999999999999,Complete,1-10
4,4,26.293999999999997,19.361,6.932999999999996,26.36723206815242,4,6.323499999999999,9.337,3.224,6.1129999999999995,Cyclic,1-10
4,6,39.545,23.588,15.957,40.35149829308383,6,6.424166666666667,9.337,3.224,6.1129999999999995,Complete,1-10
4,4,17.369999999999997,11.018,6.351999999999997,36.56879677605065,4,4.092499999999999,5.451,3.053,2.3979999999999997,Cyclic,1-10
4,6,31.735,19.932,11.803,37.19237435008666,6,5.1225,9.969,3.053,6.9159999999999995,Complete,1-10
4,4,45.257000000000005,26.419,18.838000000000005,41.62450007733611,4,11.064250000000001,12.838,7.49,5.347999999999999,Cyclic,5-15
4,6,67.76,39.301,28.459000000000003,41.99970484061393,6,11.126666666666667,14.372,7.49,6.882,Complete,5-15
4,4,42.682,28.032,14.650000000000002,34.323602455367606,4,10.4205,14.745,6.135,8.61,Cyclic,5-15
4,6,67.754,41.028,26.726000000000006,39.44564158573664,6,11.125666666666667,14.745,6.135,8.61,Complete,5-15
4,4,35.93,22.765,13.165,36.64069023100473,4,8.7325,13.916,5.175,8.741,Cyclic,5-15
4,6,57.095,31.151,25.944,45.44005604693931,6,9.349166666666667,13.916,5.175,8.741,Complete,5-15
4,4,44.66,29.179,15.480999999999998,34.664128974473805,4,10.915,14.263,7.471,6.792,Cyclic,5-15
4,6,67.16199999999999,37.765,29.39699999999999,43.770286769304064,6,11.027,14.263,7.471,6.792,Complete,5-15
4,4,34.745,19.909,14.835999999999999,42.69966901712476,4,8.43625,9.946,7.281,2.665,Cyclic,5-15
4,6,58.484,33.702,24.782000000000004,42.373982627727244,6,9.580666666666668,14.966,7.281,7.685,Complete,5-15
5,5,17.503,9.813,7.6899999999999995,43.93532537279323,5,3.3006,4.898,1.454,3.444,Cyclic,1-5
5,10,33.752,17.412,16.340000000000003,48.411945958758004,10,3.2752000000000003,4.898,1.454,3.444,Complete,1-5
5,5,15.139,8.434,6.705,44.289583195719665,5,2.8278,4.566,1.07,3.4959999999999996,Cyclic,1-5
5,10,30.307999999999996,15.717,14.590999999999996,48.14240464563811,10,2.9307999999999996,4.566,1.07,3.4959999999999996,Complete,1-5
5,5,18.196,10.271,7.925000000000001,43.55352824796659,5,3.4392000000000005,4.705,1.988,2.717,Cyclic,1-5
5,10,35.158,18.124,17.034000000000002,48.449854940554076,10,3.4158,4.705,1.842,2.863,Complete,1-5
